osm_id,full_osm_id,name,highway,surface,oneway,bridge,centroid_lat,centroid_lng,road_length,geometry,dist_to_water_m,dist_to_drain_m,flood_count,is_flooded,highway_score,avg_rainfall_mm,risk_label
207260564,way/207260564,Janakiraman Colony Main Road,residential,,0,0,13.07532732857143,80.20446008571427,328.97,"{'type': 'LineString', 'coordinates': [[80.2046089, 13.0766227], [80.2046054, 13.0765923], [80.2045709, 13.0760271], [80.2044744, 13.0752042], [80.2044497, 13.0750174], [80.204296, 13.0741396], [80.2042153, 13.073688]]}",224.99,1287.64,0,0,4,0.161,0
207260566,way/207260566,,residential,,0,0,13.07505302,80.20668894666666,418.0,"{'type': 'LineString', 'coordinates': [[80.2063143, 13.0732989], [80.2063966, 13.0736681], [80.2064605, 13.0739334], [80.2065363, 13.0743189], [80.2065468, 13.0743706], [80.2066289, 13.0747299], [80.2066802, 13.0749225], [80.206735, 13.0751067], [80.2067959, 13.0753428], [80.2068043, 13.0753714], [80.2068257, 13.075451], [80.2068694, 13.0757366], [80.2068984, 13.0761176], [80.2069105, 13.0764281], [80.2069314, 13.0769988]]}",311.1,1533.58,0,0,4,0.161,0
207260567,way/207260567,Ramakrishna Street,residential,,0,0,13.076429733333333,80.20720813333334,97.22,"{'type': 'LineString', 'coordinates': [[80.2072498, 13.0770089], [80.2071888, 13.0761446], [80.2071858, 13.0761357]]}",189.47,1556.53,0,0,4,0.161,1
207260575,way/207260575,,residential,,0,0,13.075943416666666,80.20588626666667,126.41,"{'type': 'LineString', 'coordinates': [[80.2065059, 13.0759505], [80.2058468, 13.0758337], [80.205794, 13.0758456], [80.2057601, 13.0758711], [80.2057385, 13.0759267], [80.2056723, 13.0762329]]}",190.83,1422.98,0,0,4,0.161,1
207260577,way/207260577,,living_street,,0,0,13.07673075,80.20751075,98.54,"{'type': 'LineString', 'coordinates': [[80.207536, 13.0770202], [80.2075291, 13.076941], [80.2075191, 13.076826], [80.2074588, 13.0761358]]}",177.92,1584.55,0,0,5,0.161,1
207260579,way/207260579,,residential,,0,0,13.075635757142857,80.20503269999999,74.32,"{'type': 'LineString', 'coordinates': [[80.2047831, 13.0757106], [80.2048265, 13.0757046], [80.2051169, 13.0756763], [80.205123, 13.0756746], [80.2051277, 13.0756702], [80.2051288, 13.0756648], [80.2051229, 13.0753492]]}",197.7,1339.18,0,0,4,0.161,1
207260581,way/207260581,Balaji Street,residential,,0,0,13.07645795,80.2051933,57.92,"{'type': 'LineString', 'coordinates': [[80.2051543, 13.0767159], [80.2052323, 13.0762]]}",114.12,1335.93,0,0,4,0.161,1
207260582,way/207260582,,residential,,0,0,13.0748173,80.2062625,84.51,"{'type': 'LineString', 'coordinates': [[80.2066289, 13.0747299], [80.2062702, 13.0748153], [80.2058884, 13.0749067]]}",322.55,1495.51,0,0,4,0.161,0
207260586,way/207260586,,residential,,0,0,13.07538122,80.20473319999999,172.25,"{'type': 'LineString', 'coordinates': [[80.2045695, 13.0744132], [80.2047109, 13.0751787], [80.2047733, 13.0756611], [80.2047831, 13.0757106], [80.2048292, 13.0759425]]}",221.96,1314.9,0,0,4,0.161,0
207260587,way/207260587,,residential,,0,0,13.074624066666667,80.20707929999999,95.99,"{'type': 'LineString', 'coordinates': [[80.2066289, 13.0747299], [80.2071375, 13.0746066], [80.2074715, 13.0745357]]}",370.74,1588.49,0,0,4,0.161,0
207260588,way/207260588,,living_street,,0,0,13.0745168,80.20618786666667,72.32,"{'type': 'LineString', 'coordinates': [[80.2062702, 13.0748153], [80.2061924, 13.0745489], [80.206101, 13.0741862]]}",352.14,1497.76,0,0,5,0.161,0
207260589,way/207260589,,residential,,0,0,13.07441775,80.20512575000001,64.8,"{'type': 'LineString', 'coordinates': [[80.2048416, 13.0744846], [80.2054099, 13.0743509]]}",332.88,1390.14,0,0,4,0.161,0
207260590,way/207260590,,residential,,0,0,13.07391655,80.20530195,193.32,"{'type': 'LineString', 'coordinates': [[80.204296, 13.0741396], [80.2051107, 13.0739718], [80.2058069, 13.0738004], [80.2059942, 13.0737544]]}",390.84,1428.53,0,0,4,0.161,0
